task,scene_file,desired_goal,min_costs
pick up the tomato sauce and put it in the tray,libero_90_LIVING_ROOM_SCENE3_pick_up_the_tomato_sauce_and_put_it_in_the_tray.txt,and (in tomato_sauce0 wooden_tray0),5
stack the left bowl on the right bowl and place them in the tray,libero_90_LIVING_ROOM_SCENE4_stack_the_left_bowl_on_the_right_bowl_and_place_them_in_the_tray.txt,and (on akita_black_bowl0 akita_black_bowl1) (in akita_black_bowl1 wooden_tray0),7
put the ketchup in the top drawer of the cabinet,libero_90_KITCHEN_SCENE5_put_the_ketchup_in_the_top_drawer_of_the_cabinet.txt,and (in ketchup0 white_cabinet0),4
put the black bowl in the bottom drawer of the cabinet,libero_90_KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet.txt,and (in akita_black_bowl0 white_cabinet0),4
pick up the butter and put it in the basket,libero_90_LIVING_ROOM_SCENE2_pick_up_the_butter_and_put_it_in_the_basket.txt,and (in butter0 basket0),5
put the wine bottle on the wine rack,libero_90_KITCHEN_SCENE4_put_the_wine_bottle_on_the_wine_rack.txt,and (on wine_bottle0 wine_rack0),4
put the white bowl to the right of the plate,libero_90_KITCHEN_SCENE7_put_the_white_bowl_to_the_right_of_the_plate.txt,and (on white_bowl0 table0),4
put the white mug on the left plate,libero_90_LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate.txt,and (on porcelain_mug0 plate0),5
stack the black bowl at the front on the black bowl in the middle,libero_90_KITCHEN_SCENE2_stack_the_black_bowl_at_the_front_on_the_black_bowl_in_the_middle.txt,and (on akita_black_bowl0 akita_black_bowl1),5
turn off the stove,libero_90_KITCHEN_SCENE8_turn_off_the_stove.txt,and (turn_off flat_stove0),4
put the black bowl at the back on the plate,libero_90_KITCHEN_SCENE2_put_the_black_bowl_at_the_back_on_the_plate.txt,and (on akita_black_bowl2 plate0),5
pick up the red mug and place it to the right compartment of the caddy,libero_90_STUDY_SCENE3_pick_up_the_red_mug_and_place_it_to_the_right_of_the_caddy.txt,and (on red_coffee_mug0 table0),4
pick up the chocolate pudding and put it in the tray,libero_90_LIVING_ROOM_SCENE4_pick_up_the_chocolate_pudding_and_put_it_in_the_tray.txt,and (in chocolate_pudding0 wooden_tray0),5
put the middle black bowl on top of the cabinet,libero_90_KITCHEN_SCENE2_put_the_middle_black_bowl_on_top_of_the_cabinet.txt,and (on akita_black_bowl1 wooden_cabinet0),5
put the yellow and white mug on the right plate,libero_90_LIVING_ROOM_SCENE5_put_the_yellow_and_white_mug_on_the_right_plate.txt,and (on white_yellow_mug0 plate1),5
pick up the black bowl on the left and put it in the tray,libero_90_LIVING_ROOM_SCENE4_pick_up_the_black_bowl_on_the_left_and_put_it_in_the_tray.txt,and (in akita_black_bowl0 wooden_tray0),5
pick up the alphabet soup and put it in the basket,libero_90_LIVING_ROOM_SCENE1_pick_up_the_alphabet_soup_and_put_it_in_the_basket.txt,and (in alphabet_soup0 basket0),5
pick up the book on the right and place it under the cabinet shelf,libero_90_STUDY_SCENE4_pick_up_the_book_on_the_right_and_place_it_under_the_cabinet_shelf.txt,and (in yellow_book0 wooden_two_layer_shelf0),4
pick up the book and place it in the left compartment of the caddy,libero_90_STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy.txt,and (in black_book0 desk_caddy0),4
pick up the book and place it in the right compartment of the caddy,libero_90_STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_right_compartment_of_the_caddy.txt,and (in black_book0 desk_caddy0),4
put the white bowl on top of the cabinet,libero_90_KITCHEN_SCENE9_put_the_white_bowl_on_top_of_the_cabinet.txt,and (on white_bowl0 wooden_two_layer_shelf0),4
open the bottom drawer of the cabinet,libero_90_KITCHEN_SCENE1_open_the_bottom_drawer_of_the_cabinet.txt,and (opened wooden_cabinet0),4
pick up the alphabet soup and put it in the tray,libero_90_LIVING_ROOM_SCENE3_pick_up_the_alphabet_soup_and_put_it_in_the_tray.txt,and (in alphabet_soup0 wooden_tray0),5
put the black bowl on the plate,libero_90_KITCHEN_SCENE1_put_the_black_bowl_on_the_plate.txt,and (on akita_black_bowl0 plate0),4
pick up the book in the middle and place it on the cabinet shelf,libero_90_STUDY_SCENE4_pick_up_the_book_in_the_middle_and_place_it_on_the_cabinet_shelf.txt,and (in black_book0 wooden_two_layer_shelf0),4
put the butter at the back in the top drawer of the cabinet and close it,libero_90_KITCHEN_SCENE10_put_the_butter_at_the_back_in_the_top_drawer_of_the_cabinet_and_close_it.txt,and (in butter1 wooden_cabinet0) (closed wooden_cabinet0),7
pick up the yellow and white mug and place it to the right of the caddy,libero_90_STUDY_SCENE1_pick_up_the_yellow_and_white_mug_and_place_it_to_the_right_of_the_caddy.txt,and (on white_yellow_mug0 table0),4
turn on the stove,libero_90_KITCHEN_SCENE9_turn_on_the_stove.txt,and (turn_on flat_stove0),5
turn on the stove,libero_90_KITCHEN_SCENE3_turn_on_the_stove.txt,and (turn_on flat_stove0),5
pick up the book and place it in the right compartment of the caddy,libero_90_STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_right_compartment_of_the_caddy.txt,and (in black_book0 desk_caddy0),4
pick up the cream cheese and put it in the tray,libero_90_LIVING_ROOM_SCENE3_pick_up_the_cream_cheese_and_put_it_in_the_tray.txt,and (in cream_cheese0 wooden_tray0),5
close the top drawer of the cabinet and put the black bowl on top of it,libero_90_KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet_and_put_the_black_bowl_on_top_of_it.txt,and (closed wooden_cabinet0) (on akita_black_bowl0 wooden_cabinet0),7
pick up the orange juice and put it in the basket,libero_90_LIVING_ROOM_SCENE2_pick_up_the_orange_juice_and_put_it_in_the_basket.txt,and (in orange_juice0 basket0),5
pick up the butter and put it in the tray,libero_90_LIVING_ROOM_SCENE3_pick_up_the_butter_and_put_it_in_the_tray.txt,and (in butter0 wooden_tray0),5
close the bottom drawer of the cabinet and open the top drawer,libero_90_KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet_and_open_the_top_drawer.txt,and (closed white_cabinet0) (opened white_cabinet0),6
stack the right bowl on the left bowl and place them in the tray,libero_90_LIVING_ROOM_SCENE4_stack_the_right_bowl_on_the_left_bowl_and_place_them_in_the_tray.txt,and (on akita_black_bowl1 akita_black_bowl0) (in akita_black_bowl0 wooden_tray0),7
put the black bowl on top of the cabinet,libero_90_KITCHEN_SCENE1_put_the_black_bowl_on_top_of_the_cabinet.txt,and (on akita_black_bowl0 wooden_cabinet0),4
pick up the tomato sauce and put it in the basket,libero_90_LIVING_ROOM_SCENE1_pick_up_the_tomato_sauce_and_put_it_in_the_basket.txt,and (in tomato_sauce0 basket0),5
pick up the book and place it in the front compartment of the caddy,libero_90_STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_front_compartment_of_the_caddy.txt,and (in black_book0 desk_caddy0),4
open the microwave,libero_90_KITCHEN_SCENE7_open_the_microwave.txt,and (opened microwave0),4
pick up the milk and put it in the basket,libero_90_LIVING_ROOM_SCENE2_pick_up_the_milk_and_put_it_in_the_basket.txt,and (in milk0 basket0),5
put the right moka pot on the stove,libero_90_KITCHEN_SCENE8_put_the_right_moka_pot_on_the_stove.txt,and (on moka_pot0 flat_stove0) (turn_on flat_stove0),7
close the bottom drawer of the cabinet,libero_90_KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet.txt,and (closed white_cabinet0),4
put the moka pot on the stove,libero_90_KITCHEN_SCENE3_put_the_moka_pot_on_the_stove.txt,and (on moka_pot0 flat_stove0),4
